userID,bookID,prediction
u95048695,b80407575
u47024823,b74050303
u92657951,b94492946
u19205092,b03043938
u19673053,b57810416
u44983022,b88520591
u71225133,b96236119
u92815603,b27682980
u21256225,b47932264
u63177352,b59649550
u69883711,b06670429
u76135173,b80224125
u83299639,b68063109
u49664485,b30052652
u02040246,b44455793
u93850277,b88051189
u57786729,b09783894
u33701213,b00012517
u80213049,b82685711
u68032057,b47104444
u61525022,b73880693
u40929646,b18864709
u74500959,b25387292
u29781267,b79435464
u01059192,b95350081
u87668909,b59347627
u16992680,b26891340
u47578033,b89151600
u14467286,b49695798
u39026133,b50729747
u87460341,b35108209
u24941338,b95562229
u73032943,b65908709
u78556685,b33716678
u79632277,b68426959
u95316670,b86305885
u12726399,b84751960
u61081096,b33968198
u15026666,b45046219
u83622364,b63496238
u28636521,b56873847
u68158873,b56784635
u26045951,b30528785
u10434835,b21215747
u48228983,b28532200
u75503002,b69368390
u10894118,b16079805
u29497821,b05209726
u89422835,b41910440
u69651830,b65674043
u96293218,b22704509
u45848356,b37635828
u16992680,b08838697
u79864483,b93126256
u45487025,b63984620
u11768666,b70322971
u36636385,b50729747
u53292993,b67757186
u09552910,b59935435
u72995853,b99792949
u38309590,b63573768
u20302556,b40013458
u18764298,b45608649
u96604618,b63777688
u96736326,b95483876
u13337743,b33968198
u00726838,b63692833
u55844340,b68514944
u93173590,b97385869
u60155565,b54625646
u75666200,b91270938
u09771954,b81359731
u07090654,b24871961
u41435793,b38198191
u58832850,b58549702
u24974163,b76350959
u28723861,b63475236
u29956585,b45909418
u79045798,b60340914
u09760499,b51609753
u06131830,b59177585
u53310892,b12295380
u37622809,b62035358
u35567620,b54513728
u07492037,b44724329
u95466519,b76966761
u17218665,b31316763
u78057258,b29795443
u97049749,b74148821
u57979697,b54950309
u04005117,b77704001
u40811763,b68173071
u34552532,b88467138
u64224530,b66345658
u49436662,b87855346
u44584867,b73314737
u37087086,b00072468
u44435364,b35786131
u85809410,b14247170
u53210613,b07651615
u07009815,b71003044
u33566559,b88190724
u71736754,b87277305
u70167686,b68635310
u81756621,b30143430
u80546924,b77748105
u97986930,b11766441
u90729285,b12750636
u79519031,b47104444
u51604437,b57731238
u81202768,b70827503
u24360875,b91334339
u44377866,b49635112
u08867869,b19949581
u35175088,b59649550
u93318121,b65036041
u01758553,b28532200
u33284834,b26489182
u28136905,b39054542
u17943062,b31893168
u10856453,b98350282
u77012263,b51356347
u31815150,b97012364
u76492533,b28910928
u72125800,b48729675
u59361559,b05208686
u61173316,b05340831
u13255151,b00880720
u58250994,b71466677
u04130514,b49683329
u32332899,b86168449
u84338316,b35786131
u32751554,b59958998
u54900775,b94632067
u65444416,b28070127
u69439195,b21655661
u25577220,b31384881
u05477017,b12510681
u38076794,b69580917
u82220472,b19588028
u84229166,b00081224
u23137224,b46543712
u79632277,b33997929
u08656034,b83594308
u14397247,b45128760
u08576782,b96334219
u20297539,b30653670
u80303616,b08312296
u73071736,b39335968
u27458489,b81741213
u89357925,b51752826
u37091047,b99310518
u84760279,b85422910
u33473385,b63573768
u99677200,b15786264
u35873320,b95331537
u23271662,b91499504
u75825088,b62674157
u10690306,b84584185
u26344771,b49695798
u64683148,b44666390
u92026699,b89091307
u74374306,b15682689
u97805352,b65767129
u55664608,b57520749
u62973771,b21959476
u43930641,b19644551
u47742452,b95989324
u97092749,b40866233
u89459581,b44782333
u53255252,b00644111
u90143669,b60504408
u81848277,b10474943
u87344781,b25991439
u05646887,b19360195
u59093476,b96112912
u94707921,b86085310
u33356805,b59852433
u63834566,b31821168
u83576030,b08994242
u67819350,b84751960
u56086025,b59839746
u53102343,b62512213
u02386581,b11764474
u49889983,b61119742
u03976515,b47460571
u62895005,b55084308
u59765066,b23101335
u40731132,b75986872
u82076706,b54664414
u32604316,b44128899
u74451314,b00192912
u06700000,b54625646
u90071482,b72857500
u20509774,b96265642
u62366031,b84584185
u22154715,b71487354
u15674723,b00412997
u85128514,b87344628
u31374640,b18929421
u84120351,b47790806
u13084459,b64757199
u26795561,b19884174
u30354501,b08237825
u13258015,b29004249
u09198090,b07148163
u24765603,b77538318
u01417341,b42050828
u61735053,b37736262
u38975588,b52924309
u20355367,b05184403
u31754412,b27899679
u48652241,b59976342
u98649837,b64440357
u82981037,b13640562
u92605119,b24385630
u68928521,b05339449
u40380511,b63724330
u25859365,b94453353
u30740520,b67467715
u36974185,b70730831
u46609996,b64392237
u87030101,b26264633
u31790118,b31208511
u15976094,b12361746
u51129042,b99413621
u19251914,b71979629
u75844156,b66846181
u16385489,b51098966
u81574720,b44088935
u44123845,b04133991
u16350431,b34169709
u73521845,b20500896
u39121896,b33692719
u84326991,b34137969
u56337501,b70886093
u86255976,b88559916
u43442802,b82171870
u10694798,b76388300
u30498045,b32584275
u23755034,b69892307
u58976280,b12263396
u05193091,b94611919
u54536769,b61417647
u55726570,b03563512
u62158733,b80868897
u71805281,b23141901
u48115415,b08966177
u00584110,b45316174
u15988744,b07477826
u48796527,b62342426
u16910686,b05340831
u82218787,b45909418
u82389816,b43159268
u08346633,b09170734
u25107456,b73465962
u88808779,b80224125
u64545429,b01135741
u77249745,b48083119
u05393125,b80430178
u93811874,b89851681
u55919341,b83901464
u91266417,b59959672
u69156444,b66103404
u96384403,b81163980
u27425677,b62953735
u35420224,b44455793
u40642614,b35367251
u00072568,b93317837
u71860444,b76893053
u60838422,b39136187
u71310977,b05339449
u87668909,b58197545
u46609996,b31179206
u85985345,b46592077
u41414719,b88982593
u62981846,b80022444
u61185629,b34561821
u34213181,b17797540
u58495427,b02279077
u68985936,b77620919
u14734655,b42645957
u62569277,b91761655
u60960369,b48165031
u83615830,b31194211
u29044515,b92868075
u55087562,b55868517
u28723861,b41910440
u94661786,b18182363
u91900661,b87855346
u07795558,b54145760
u42870026,b67721825
u84054731,b91224802
u72104700,b30958864
u96930503,b71603737
u13704130,b08260266
u32883813,b67653683
u29521751,b81475500
u87262982,b71035471
u96293218,b90435529
u80279008,b47678111
u30962495,b25751091
u47163912,b20992264
u36404811,b01326379
u74387455,b55805280
u14494146,b30413632
u09055383,b53989988
u67147225,b37211483
u01659587,b32302616
u54344915,b48729675
u30204084,b38326207
u77301262,b22055067
u90898725,b66438136
u65086454,b35902192
u01020413,b65400701
u99300715,b22675743
u37891402,b64440357
u63650177,b26800286
u09080794,b02280351
u08677720,b49634533
u18749194,b49341680
u22866391,b17512492
u68985936,b26941943
u08368124,b84632235
u13481525,b44155328
u64185320,b32618030
u94044856,b05184403
u63237164,b85634699
u04345184,b74276207
u81958263,b10955523
u60641047,b20850958
u67318564,b08876271
u25600024,b18248037
u26923206,b20901350
u23466721,b68626714
u61910452,b19547196
u87638961,b23475455
u80278678,b06547200
u68029177,b72788347
u47474109,b33288438
u26022585,b59639781
u59182191,b18580250
u86411003,b93074227
u22684355,b00418776
u49456350,b07030746
u17557746,b68479557
u80204085,b68472435
u94119418,b54190033
u14973614,b55612594
u85467917,b76207735
u49500215,b06584896
u46875505,b78391921
u21926300,b48083716
u87172325,b55341336
u30498045,b98483501
u92794746,b67060290
u31630583,b97300133
u65705051,b31893168
u95492790,b99237372
u54092462,b84632073
u88628533,b02568600
u48486568,b96493182
u57232769,b30397578
u97530948,b84090080
u27745890,b33968198
u70676946,b33257343
u45972386,b66651817
u35584979,b14918899
u90766927,b48729675
u82844589,b10474943
u88624667,b88559916
u46610807,b81458828
u60344342,b13427551
u83776959,b44014962
u00632271,b02937995
u87058901,b54877981
u69066973,b38198191
u63290622,b67971979
u26164271,b87662323
u92547966,b27943112
u61131626,b92836080
u82523602,b49250112
u70184479,b28030093
u54530180,b19832902
u36485841,b77096233
u12182040,b81753136
u21194757,b92868075
u54469096,b28903689
u53897078,b83243248
u54080602,b07695956
u29989507,b60549769
u77817992,b73137861
u47474109,b42377812
u60322799,b03336334
u84262984,b97043167
u58090307,b54472063
u70633648,b89740973
u68094750,b35018560
u35599861,b26673193
u24864495,b59900245
u30498045,b15819504
u69156444,b43923033
u51676139,b98749710
u17512463,b74287853
u51177381,b16535931
u66979232,b35160454
u94398205,b34899145
u23697055,b16054124
u16203979,b59836522
u66503847,b97945541
u62726777,b49695798
u18112792,b87961043
u71859325,b54625646
u18912090,b68514944
u14204944,b36836580
u18711440,b74079024
u05399231,b90094624
u95434278,b18574336
u85577149,b42466422
u40703903,b31102862
u44631052,b82171870
u22664888,b96493182
u73032918,b36261396
u21827057,b44212859
u93914347,b54625646
u20814328,b12813967
u24234889,b53989988
u22100820,b04959385
u86837548,b61522117
u71072013,b38285645
u15074929,b37178837
u57646755,b69410093
u25152517,b62737889
u99735847,b03280871
u02247468,b84576609
u02192157,b37867721
u72489983,b83568198
u76471634,b89465278
u59972979,b74211466
u63579188,b58438761
u12983550,b71245647
u39311600,b43409871
u00789228,b65212558
u87068776,b21161299
u36569134,b53321981
u10471369,b90729181
u56234682,b77063954
u97094862,b29004249
u91984961,b49976390
u09454397,b43536777
u02885779,b18117157
u18521248,b87875631
u83184279,b54818899
u15720716,b69877239
u78976129,b85269870
u63512593,b87911676
u37824525,b49634533
u21125511,b98350282
u82658731,b48963706
u91966332,b18263630
u59164722,b33437227
u46339632,b98150825
u48692245,b47790806
u93846469,b26947765
u55937417,b61778533
u12292742,b82064410
u95836984,b55627055
u13273040,b61533042
u28582150,b59053110
u05228426,b68987424
u69665332,b28153284
u59720588,b82208163
u67723513,b91116124
u93801263,b96588779
u95716467,b09924793
u84363479,b46400003
u94183713,b35296481
u49260298,b86532634
u97142561,b04847633
u90298706,b32494878
u32208208,b14854557
u95617592,b75545985
u86824628,b42203201
u05106561,b87337758
u44008815,b17387967
u91252425,b18352787
u04804485,b39528856
u22229774,b51375672
u12979327,b64877277
u52599700,b21603671
u51005659,b05688647
u46714876,b84849866
u52235009,b76027906
u72099449,b76413650
u67134741,b31194211
u41578777,b21675182
u02497300,b73215734
u59242601,b61778533
u34387341,b99485216
u04130514,b32735930
u93719350,b53441791
u86043908,b39988292
u47733477,b96109530
u17001335,b21758871
u99082499,b78932885
u15351491,b89614820
u42870026,b30027558
u67913596,b75299058
u87713983,b28404351
u13245998,b93506529
u35307978,b77985583
u15278878,b35928263
u87415098,b41039130
u05214301,b93584959
u71279805,b12748619
u46654986,b85269870
u01995368,b96588779
u67673537,b52785142
u52476447,b54703448
u35783023,b97973291
u58123480,b62895011
u35735377,b67721825
u95885492,b01044726
u34162153,b73893681
u78039059,b41411777
u15212792,b31407785
u97200327,b47790806
u77568245,b04851521
u61188414,b55467811
u62041080,b73713785
u32807770,b95003185
u21222139,b78932885
u70255121,b38198191
u38088991,b23323548
u53147213,b20276202
u20230526,b59639781
u06827016,b01845217
u29673526,b14050416
u76345288,b56139465
u31480230,b28002121
u59942946,b94914324
u05022901,b45543948
u17556944,b41071835
u15435409,b02496364
u53511374,b05381321
u63983519,b95483876
u38275276,b51752826
u45736558,b51752826
u76759500,b99699446
u16146508,b99898254
u86107481,b99530722
u48897272,b75379050
u94598814,b20992264
u29996833,b91295615
u38332372,b25485928
u40884644,b13942612
u89651296,b10844613
u47513751,b44553593
u42302774,b04575237
u35599861,b95797864
u17148098,b74270504
u65428054,b36824081
u01221343,b31179206
u03868261,b41415538
u31105012,b01952401
u63416848,b46491047
u61215012,b00462122
u24649998,b11138092
u34815818,b61907860
u64613543,b69599279
u64987875,b34863275
u75928992,b01373140
u20974561,b26771167
u72160624,b32920131
u39722421,b02695324
u08665964,b81778966
u44354421,b85087290
u57975894,b60482111
u96026032,b53416938
u68258565,b95350081
u02218458,b93239672
u65647034,b76548618
u13178531,b72445268
u76620429,b11764474
u80127192,b66842439
u69816642,b89753615
u76641679,b84080527
u12029901,b50753672
u29141448,b88480433
u70814576,b35009138
u89999243,b96741849
u18224077,b31331358
u78569656,b43077175
u30941281,b57506070
u69169804,b68894342
u97550596,b53027003
u81774317,b87951010
u51020191,b15552433
u37425280,b22251874
u48485125,b89350452
u65869408,b35894807
u50183400,b16585984
u71419288,b18251692
u24244888,b30681353
u82409376,b71487354
u89521221,b33385897
u12398743,b78742591
u36076414,b93630378
u60603325,b28789958
u56405570,b52371132
u31924324,b60833470
u62244793,b94471913
u84372718,b35548190
u23412389,b55084308
u57314722,b74490140
u54272341,b76502548
u69921658,b98358916
u74064482,b20574020
u23070218,b54269799
u15384480,b58164560
u26946535,b72788347
u97972362,b84751960
u23245732,b85057528
u25090779,b70000668
u32258928,b87861995
u98930371,b90415795
u50140579,b03144433
u09634817,b47790806
u58038738,b18486016
u74141545,b80487985
u96903906,b96241582
u87117091,b56096640
u97664388,b57810416
u59897676,b23011989
u56710004,b30061090
u26500431,b96334219
u35554286,b25262144
u48673875,b14216279
u73516731,b14098526
u48913637,b29882217
u17270800,b48437552
u89458582,b21905595
u50694947,b77691803
u44424001,b40818094
u29493661,b15234417
u61696493,b27828453
u20789924,b45902444
u16894974,b59347627
u96930503,b87543234
u74843664,b11764474
u90143669,b05856210
u78467946,b00124973
u34980873,b64268664
u24881115,b86776503
u86197572,b08625173
u90251889,b82794443
u71629150,b24206871
u92053255,b51954992
u14459454,b68548749
u59700923,b23740750
u26259951,b09234115
u87106205,b82971846
u18186610,b65933493
u68531036,b13856177
u58693082,b26800286
u97505809,b78559742
u71443643,b59662008
u47706832,b84180341
u86130051,b78004845
u75530000,b65347868
u17817463,b24152894
u15258666,b37497322
u25586728,b38356141
u24959063,b03563512
u05118731,b43196049
u21314182,b19588028
u15603922,b68538643
u84702938,b68325365
u14809828,b02200937
u01768042,b70730831
u93860989,b55672111
u03846912,b95574439
u60449192,b90680576
u38000346,b44455793
u74193324,b70380833
u63769348,b92602460
u69870897,b34931521
u45796067,b35786131
u37929552,b98113891
u40629325,b73923969
u02777331,b20103740
u28155585,b26264633
u11201291,b26264633
u87471157,b24376185
u47884977,b82070080
u66667846,b09138209
u15754387,b94724676
u33892578,b42738935
u08933445,b89732989
u04178593,b85585761
u97255624,b37594219
u64237192,b03698786
u47007166,b28208330
u19150017,b96659711
u30002442,b34138624
u92794746,b38198191
u53665284,b47134770
u37358311,b49634533
u43661175,b02200937
u62339180,b97300133
u04727755,b73095338
u82410025,b36586988
u56274502,b66458332
u36969845,b63354051
u61707672,b71406963
u71990741,b76504829
u00942187,b54508300
u87975313,b82218065
u63650177,b07386641
u25113454,b48413448
u46461861,b49250112
u02072585,b43244973
u66793522,b24275840
u05837260,b73826999
u59767578,b64804466
u89077349,b68063109
u62858306,b67757186
u67965797,b77297808
u46867414,b81819625
u29338020,b04640860
u50929075,b67696941
u10575417,b78510086
u35654499,b13339785
u06584880,b25959123
u27936466,b79893346
u05991290,b60266004
u75450384,b77355855
u53476277,b31331358
u60191993,b28404351
u58414471,b39473828
u30348984,b39002631
u54626272,b02977851
u24849922,b21221036
u53843645,b35786131
u61986858,b31939154
u03163784,b80617056
u90830543,b58705938
u67417212,b46334875
u17287590,b02283380
u92026699,b52463272
u12610802,b49127436
u64624839,b09992427
u31689922,b86063563
u81608173,b71487354
u56143313,b16452573
u73667745,b86045488
u30898947,b21603671
u81286260,b77335595
u35599861,b49672141
u96936044,b80426009
u34815818,b44455793
u30348984,b79877356
u31644751,b62939974
u35915085,b95145014
u09033130,b29655227
u78599335,b07335707
u05056474,b50649949
u49260298,b74651630
u89753990,b29886662
u98198272,b93099714
u74110960,b93683143
u67355455,b70693467
u28293886,b85682636
u65558350,b92856381
u30740520,b87901324
u36143496,b98647333
u79433820,b08228719
u43442802,b05381321
u81789837,b00592063
u82136153,b17382205
u73367070,b26622847
u53562009,b09796209
u09731236,b10877513
u59217113,b13445812
u74370942,b59480060
u95412182,b15819504
u25472321,b75372907
u24549008,b51752826
u90438264,b85655935
u15029685,b57810416
u65701158,b00724323
u34212384,b52784796
u48523265,b70322971
u76469847,b60580488
u03918110,b00399615
u98649837,b51944772
u41540028,b27453661
u37923766,b11618942
u24244888,b93071305
u17837799,b71016446
u01048491,b70971229
u86913272,b76207735
u61131626,b98291770
u79020612,b86133850
u49481556,b56151712
u06120406,b05184403
u79728182,b40244517
u58901444,b71035471
u52859955,b01952401
u73578672,b14442762
u87035315,b00938263
u86959537,b32089310
u01546001,b61198472
u84587102,b86235079
u33550224,b45128760
u41882907,b81393841
u62957330,b51004387
u82590838,b60204681
u73947030,b02755405
u30282559,b72726788
u08987705,b86812971
u20703163,b49466012
u34284228,b87389972
u07528078,b35123673
u82036547,b61906967
u81137627,b64936102
u67473491,b93523667
u70482549,b42760236
u51319617,b00924613
u94542247,b44553593
u52838035,b82034329
u74688703,b12932469
u13894040,b77441011
u61395411,b67165144
u81602797,b99916541
u07356639,b05462360
u61188414,b05020883
u21259079,b80280525
u63127741,b06328836
u92108241,b27898050
u93649886,b08838697
u00382102,b59177585
u08432761,b95483876
u65918183,b31821168
u49980020,b79191233
u39426957,b86735385
u52357439,b15308974
u06503673,b68894342
u54362056,b11138092
u77472906,b16462682
u31785991,b59227373
u80796405,b40406278
u92278566,b93729039
u02106603,b34750247
u79115183,b06346154
u74519176,b67596432
u32798709,b56787666
u39586194,b39290405
u16618167,b56379602
u04678746,b33723137
u11664701,b10976950
u21647176,b62372998
u27501339,b35494826
u14105103,b98964059
u21812931,b38198191
u89505830,b32516829
u67591628,b33257343
u61185629,b40001754
u74994862,b43014130
u65723639,b68406603
u54276831,b65103234
u03389557,b89920521
u55210451,b23589525
u43845387,b76207735
u67862542,b64637484
u79814693,b67385245
u19771682,b93507890
u74415450,b26364720
u14704716,b07990456
u43438548,b17895002
u38466208,b65816093
u52492178,b80211514
u48527942,b18964812
u83298434,b47367938
u90718614,b22841805
u73521845,b13168037
u75277563,b06093987
u13393443,b44476257
u23398691,b29795443
u70255121,b93136817
u77411037,b68063109
u03010611,b35786131
u01195146,b85650308
u38580685,b57275660
u86439293,b35873291
u88485771,b31335239
u71629150,b73482125
u56771940,b51476703
u82658731,b27008357
u99354345,b68503505
u25717422,b64373133
u82758112,b71551674
u79989008,b57810416
u55127579,b35786131
u72442189,b26742241
u06943267,b13640562
u18360310,b47375692
u08283144,b68406603
u20717045,b54625646
u10649377,b48083119
u51091474,b20459042
u75885924,b23722176
u49736706,b42050828
u12726399,b46139196
u83072880,b10170459
u04199741,b44455793
u91803112,b22251874
u83921470,b56544656
u20754736,b75653049
u91493457,b99331031
u77049165,b52924309
u84392386,b72979400
u82883755,b14456610
u66667846,b59839746
u51718532,b94756702
u02687559,b89512407
u17049077,b71795419
u30677050,b58668306
u42779051,b28404351
u99978215,b74600625
u84286472,b74651630
u91211420,b84584185
u39995831,b79375555
u41655013,b70559597
u93961567,b28525537
u45732277,b80742104
u57634446,b69663712
u70173543,b18754116
u83190743,b75716520
u60979308,b12202033
u33543983,b78023652
u50346285,b95534698
u77707710,b66972066
u74739724,b37114775
u97729045,b46592077
u60569167,b73549756
u06043718,b79953312
u30898102,b44724329
u70508196,b81558433
u64442217,b27966463
u08976122,b16995534
u15428854,b91211924
u86700200,b94898218
u23520674,b72686939
u40646340,b17512492
u18603599,b69410093
u94936346,b82454363
u19547172,b94632067
u32553093,b28098532
u92885444,b30737075
u01102935,b73677342
u53293182,b73889554
u49180998,b10507811
u15557396,b42738935
u03892310,b32735930
u47409533,b50051268
u90197119,b11929786
u94495817,b19197040
u15456245,b68063109
u98046032,b24871727
u47474109,b47371960
u90953690,b17858813
u55721784,b22704509
u34672480,b67371329
u19879579,b02717976
u89478852,b86833017
u29576123,b61533042
u86206605,b67619842
u98650655,b00938263
u82557788,b67376351
u07999837,b02614173
u39587006,b42645957
u57275426,b46217350
u02111960,b05184403
u42649479,b02735095
u12094438,b42088719
u96207701,b00587486
u95089546,b30702664
u52803472,b40150007
u88982363,b53960255
u48437475,b36293237
u50192675,b11764474
u14049527,b29527302
u17472605,b94254026
u23840066,b51752826
u38991627,b59307002
u41552780,b85504941
u60905650,b22781055
u47927085,b71795419
u02359460,b58196735
u81211081,b27185015
u70872864,b36602547
u74795735,b34569269
u86607383,b66861808
u80994510,b59347627
u86482961,b86168449
u48590878,b51825757
u72308603,b79227379
u48341871,b14590389
u35330543,b33968198
u58028838,b73753781
u60667084,b24711277
u56514125,b58600737
u02082929,b46148034
u41208998,b66871833
u38827121,b11573296
u57817410,b20605983
u65428054,b97068278
u31668943,b67467715
u74534547,b74651630
u59415219,b95534698
u07635292,b06547200
u05666271,b46801372
u02548030,b93674861
u78717050,b64178140
u89366046,b75370376
u21427546,b00587486
u68160075,b07535960
u17853805,b94585450
u93779397,b21795935
u16147162,b38426558
u21419200,b37211483
u49735516,b92856381
u13074673,b11764474
u78639852,b52355478
u41911381,b64113462
u77012263,b87059689
u15258666,b79146811
u23822717,b72749048
u13393443,b63840483
u36444882,b89920521
u70567854,b84888884
u54654620,b62445625
u57448411,b70886093
u40147156,b69054004
u54307685,b10585734
u61401045,b67696941
u66628041,b68538643
u96098826,b06446471
u39228353,b21100135
u18983344,b51310359
u93477004,b81950461
u30677050,b92585934
u59950940,b81206517
u70384938,b01984238
u38573576,b45313027
u68148957,b99200561
u93217855,b34561821
u36891739,b05387875
u52616264,b30499938
u69950380,b16867662
u59235765,b62737889
u82844589,b71014685
u55093803,b09887883
u46658769,b94585450
u49263174,b40349109
u63675617,b11764474
u91221763,b45781742
u31269441,b56416268
u05161863,b32302616
u54344915,b51752826
u89293278,b22675743
u51676139,b70730831
u23098207,b59010163
u11863602,b76508308
u11585829,b51752826
u72109024,b30193910
u98686554,b56151712
u12028634,b44474740
u49765542,b74082516
u23050787,b95534698
u43785985,b38426558
u38156568,b61038902
u84383714,b34522539
u12428322,b09247255
u14504536,b74298446
u23250280,b25022339
u98962581,b34529879
u20981354,b62035358
u55584849,b38838652
u43156184,b07666251
u53023257,b40406089
u99699382,b06278357
u50798559,b32735930
u79734794,b11557119
u58301016,b82677507
u02819287,b92186351
u96098826,b05209726
u50735074,b22881848
u17701209,b36362989
u73917365,b09234115
u91214051,b19704648
u35616279,b54058501
u11602751,b04951076
u18009542,b26264633
u42998961,b54625646
u73684182,b98738382
u48094731,b45151106
u50447358,b41536700
u59403196,b48931817
u82426020,b42715705
u01139498,b26558397
u92278754,b05288241
u48725307,b54501185
u01230256,b05436549
u84280670,b72167949
u83522325,b86252145
u69870897,b62456624
u16203979,b70219620
u99462587,b15974203
u26576975,b76919813
u48258011,b04331066
u52039005,b44455793
u81374748,b63227558
u68266392,b85605819
u57525644,b08130013
u93359764,b07490126
u77861862,b36047918
u50176295,b62215741
u80141190,b99479281
u84409042,b93840478
u23259750,b62035358
u95853703,b08703031
u80956022,b51719505
u34374682,b36154589
u53711560,b75736015
u58105965,b84979363
u04727755,b38796456
u34228275,b20019913
u87555222,b97189432
u57983150,b16128996
u72384326,b69655340
u48928232,b64406274
u49225389,b76004258
u88601243,b88343573
u55763471,b81311662
u01325139,b97914359
u95885492,b07766119
u67185063,b87553471
u70098788,b30413632
u52231695,b68894342
u69197352,b08709281
u50877588,b87614146
u17696581,b28532200
u33477527,b81558433
u89943741,b39490905
u45092395,b90022936
u17044006,b05502136
u43698381,b63432164
u98097610,b06186221
u11203168,b63054335
u09294433,b39530442
u01048491,b65538659
u85348585,b44438037
u84821643,b56590143
u72666481,b40828903
u42249307,b27150146
u57826025,b57850870
u24864495,b84234356
u49738478,b92142840
u35584939,b75765563
u33356805,b03873014
u95602905,b52300694
u19771824,b13553976
u05652967,b01233565
u52235009,b84966764
u76700679,b51752826
u95733658,b23082879
u12274115,b90249613
u06969527,b72956733
u84379029,b33506410
u68029177,b16411467
u40982174,b25189431
u03530399,b87132803
u20355367,b88240655
u95186630,b93679204
u84661443,b19575235
u89478852,b07635522
u31871524,b59597806
u77695356,b62288804
u80451935,b23879471
u34672480,b26793811
u19547172,b87903652
u29856025,b75299058
u48657096,b61417647
u59960754,b42153012
u71448065,b49087833
u90797886,b01460273
u84126808,b91211924
u69870897,b27611497
u83313203,b74996734
u47574996,b58515306
u25090779,b03413695
u71308397,b36569972
u87777387,b19320796
u74724725,b17858813
u67897998,b06278357
u44134722,b25888026
u24881115,b51476703
u44457473,b06953846
u90447928,b31331358
u92105357,b08228719
u40232153,b21675182
u33260322,b18117157
u35404564,b35593837
u46646457,b98815591
u20437109,b59053110
u52623371,b34840706
u76606473,b27554133
u31756271,b69718710
u53497056,b93038859
u60311469,b56340233
u53116639,b93729039
u11863602,b91910733
u26358576,b62888129
u93901479,b17755340
u03050053,b62622834
u26090363,b68062486
u30295121,b49903950
u74830315,b65189962
u31713243,b95483876
u90722568,b99122723
u93934746,b79491720
u48380286,b28684925
u35465979,b31119861
u36974183,b70322971
u59481621,b30815751
u52533681,b91292868
u26366089,b59839746
u54591625,b29795443
u92409515,b59649550
u89020043,b08798951
u95131116,b25350833
u58016959,b66350242
u97272779,b55569292
u47741362,b70126202
u05155436,b19719534
u55476873,b17512492
u51472215,b35544933
u53647207,b85312375
u06614974,b91295615
u93850277,b02184817
u55401639,b55341336
u95838122,b08144956
u99330344,b29373811
u73210259,b81950461
u81469669,b28424073
u53724605,b61167854
u87863615,b94453353
u69207455,b07085085
u35767957,b84514177
u51274060,b80022444
u13389893,b00802680
u64984726,b99184996
u78635081,b47591890
u22866338,b06831688
u55263503,b20590836
u63078705,b68490117
u08677720,b10577741
u31028369,b51173598
u50176295,b31626252
u25554455,b25982961
u12267671,b42088719
u88780751,b81291589
u63652625,b38949777
u89714958,b45058967
u86300838,b80001594
u70595663,b84904610
u15384480,b72355568
u62349817,b73753781
u11594398,b24809571
u77853041,b41615926
