userID,bookID,prediction
u11538900,b07888199
u90404057,b52785935
u49584831,b70322971
u27406147,b06258462
u19265629,b69410093
u59550097,b92856381
u06047632,b46074550
u63983519,b43244973
u80579746,b25154362
u84760279,b95519692
u66503847,b88240655
u93892163,b28525537
u29521684,b63962796
u80400155,b08458954
u57244096,b29014028
u03384708,b54504244
u69803234,b88096580
u33486844,b58416096
u52057994,b47311260
u17817463,b84411080
u61185629,b18097004
u64606127,b57810416
u98879154,b70730831
u61168705,b40013458
u71934639,b63377816
u03374465,b44455793
u95608016,b13405391
u35642181,b03370377
u28596016,b98132437
u52901593,b32165272
u92885444,b96607117
u07449663,b36790553
u88498458,b34950833
u63601460,b85634699
u39044030,b71589871
u55199146,b50075266
u07825200,b60243940
u90780021,b61301577
u68197415,b55084308
u44123845,b78559595
u32551646,b00418776
u62694149,b03524407
u74696358,b59913729
u10443400,b87337758
u30282559,b40469846
u17790850,b14234543
u03775650,b50378244
u23094928,b82528969
u40310632,b81359731
u62084331,b09881661
u21908376,b10577741
u06530311,b33892919
u50393352,b86334498
u97749914,b65593444
u73924217,b71466677
u60082035,b61676469
u30624255,b81053289
u30911370,b72749048
u41685342,b86252145
u72854680,b85634699
u83036397,b15657520
u90275478,b03599620
u89352725,b91761655
u58770821,b44553593
u29110702,b57810416
u29414266,b85422910
u23209747,b54505846
u43156827,b69655340
u97309229,b49528341
u49445318,b07023126
u42066989,b95483876
u72475962,b67757186
u13930865,b42597173
u41440102,b23475455
u10361202,b42409019
u32283375,b25802121
u54690812,b21876884
u39697634,b10507811
u54148888,b08838697
u75011359,b95941318
u82969715,b98679037
u93532749,b22881848
u57275426,b59839746
u49951183,b48034911
u65358540,b61588416
u40242228,b13603836
u54101207,b59839746
u77494733,b71976251
u62148552,b97043167
u91933798,b61676469
u11648249,b93807784
u37382772,b16697151
u09792898,b47151030
u48410236,b76966761
u04934710,b17352258
u15968789,b83797075
u42979077,b13603836
u86111512,b90001762
u19113405,b36168141
u37586811,b79343645
u69048930,b23865940
u33901805,b64909655
u84821643,b59627400
u86984056,b40009044
u71132002,b58393048
u02940803,b06077214
u24477070,b36600117
u28974188,b35786131
u26567619,b38198191
u78768389,b29655227
u88573172,b53131019
u20165003,b48870940
u07964779,b49466012
u82567087,b80742104
u90061045,b99813835
u33207008,b47790806
u08677929,b31893168
u82981037,b39221237
u26238862,b49528341
u08453716,b54084913
u58520508,b49634533
u29766119,b64970267
u33697898,b82180436
u19447186,b42129249
u40821266,b05554007
u83369267,b62445625
u04930409,b54010372
u38785258,b45292275
u34465728,b45543948
u13362370,b17858813
u05591654,b54625646
u21426374,b83594308
u15138219,b52875290
u63435572,b31160914
u87067449,b17512492
u87066060,b72522965
u41850511,b21799914
u37600700,b09596565
u14482212,b70322971
u11794414,b32433211
u41449595,b93686379
u29813498,b59133913
u47407318,b33723137
u89377860,b29773216
u35541647,b11225717
u84225520,b01624394
u83201345,b20740019
u94419103,b78023652
u72125800,b71003441
u44044152,b53131019
u90843314,b85057528
u52199754,b66345658
u10821230,b80380188
u39423764,b00833173
u48730770,b23895678
u07137694,b94908556
u23560839,b09668611
u21788111,b63462775
u70863971,b56379602
u25096154,b20079491
u72288303,b26793811
u86012529,b69901173
u62056552,b12465701
u52505755,b57810416
u62366031,b59408116
u42162909,b90749333
u16982742,b62815615
u79910708,b73801617
u28625066,b32576028
u93874401,b84234356
u57815191,b00880720
u99574844,b80129739
u43621833,b87065906
u17110248,b63863190
u74317399,b72749048
u80204592,b62069216
u35443062,b11412412
u38437467,b44536156
u32006329,b90724019
u29177123,b65816093
u71128508,b89828013
u25472101,b66176581
u95880439,b73744307
u34940542,b51371347
u65135562,b49466012
u48155900,b24275840
u34197404,b85634699
u68200287,b19588028
u82872403,b73465962
u62147953,b49620314
u28987240,b70322971
u09828075,b40244517
u83287811,b40001754
u43269258,b99105288
u48284328,b48729675
u54448637,b70679569
u67829764,b71466677
u66102698,b12437675
u70914272,b13856177
u02557893,b57810416
u80623384,b29795443
u26424853,b84476867
u46339632,b46148034
u73520785,b16142257
u86376002,b16462682
u60369049,b11764474
u01486316,b69599279
u76958006,b77063954
u73157751,b60921264
u61068797,b11312993
u68854463,b00592063
u77998898,b08709281
u82615095,b28755023
u44325635,b33968198
u75012019,b57513073
u41599741,b03413695
u20031288,b42574427
u94624523,b62445625
u61074359,b59081879
u17598542,b52785142
u79704183,b53673159
u26927593,b87855346
u92335592,b40813518
u81132994,b14590389
u69106432,b54653281
u49373676,b68524016
u21930711,b08888303
u54203986,b79590339
u28958199,b26793811
u86144003,b45271117
u54959055,b84665380
u03515276,b76359728
u51912084,b32561157
u56129474,b75817616
u38062310,b77335595
u28685390,b49767989
u68246998,b89780411
u41525158,b76413650
u27145837,b04038658
u89050581,b35783658
u76041907,b62372998
u00789393,b51004387
u10403916,b18263630
u54699824,b13603836
u15265322,b14459619
u30641668,b76504829
u95534826,b73664100
u57940398,b53675130
u58941231,b08838697
u98803549,b34032936
u74050632,b10994758
u00755429,b35174659
u19579798,b57514171
u67895135,b05288241
u31454478,b24970833
u02063083,b00366117
u88434685,b74051095
u76053943,b99950000
u09785104,b56831991
u62249333,b34602192
u05553700,b05133718
u93661679,b49528341
u34308104,b84234356
u72279250,b59839746
u04395408,b95483876
u41310472,b67653683
u95345494,b87861347
u29492783,b06203322
u60191993,b75354309
u94694301,b96360107
u59196508,b24665266
u09545596,b27535958
u27792091,b17858813
u97495998,b24281357
u85708221,b78004845
u47821258,b68856469
u61345157,b25756257
u76222522,b27435998
u47938508,b21230747
u70123974,b78510086
u59881494,b35607025
u49827488,b96804158
u17557746,b87511296
u81729499,b17885469
u73442071,b66917671
u13923562,b05635622
u27602152,b46139196
u31197956,b79276141
u59514181,b32600909
u35162277,b28997299
u97527375,b57513073
u86397151,b07535960
u87384331,b30451329
u77003111,b17512492
u72279680,b25350833
u43285820,b15522182
u98110032,b79470213
u29660131,b33464434
u13958171,b77335595
u52999102,b11195772
u99477622,b46543712
u05064681,b83594308
u71312779,b48660225
u12500637,b79367684
u08386978,b47790806
u25526637,b26793811
u64423190,b27008357
u08918672,b54625646
u94143447,b34602192
u52144973,b23350224
u10010672,b13856177
u28612129,b61038937
u88151131,b00938263
u85027546,b65810498
u80029114,b94930773
u12492851,b20947038
u55978987,b11225717
u37667600,b43883297
u57433452,b68416558
u21578093,b83382811
u64465827,b35018560
u16954945,b24986805
u87794558,b88074029
u01444834,b18263630
u96921183,b97564684
u49022876,b33892919
u22233266,b17512492
u62392101,b66017593
u94835729,b84226882
u94172332,b19108953
u60179797,b14231863
u81843073,b40259657
u66802297,b76004258
u23201992,b80332084
u61025357,b89920521
u90487763,b29655227
u06453969,b84514177
u45455966,b03188729
u81605046,b38237090
u72820968,b37133698
u38537061,b86161915
u51008934,b91818161
u46271898,b91310197
u38307788,b56587367
u18223169,b99796732
u85114781,b13168037
u57538556,b26489182
u40006080,b52300694
u21425312,b00592063
u88817037,b95483876
u60486172,b13856177
u42752379,b51080606
u89150296,b99699446
u84889314,b08130013
u32054208,b66477992
u26115621,b63927673
u07951030,b92856381
u86717225,b69655340
u51327181,b17858813
u56563545,b12662265
u51431119,b46118280
u84930762,b57646752
u94512305,b11225717
u82817068,b78336376
u59679776,b13030340
u12145453,b98483501
u58609793,b86252145
u37251762,b71569333
u82043958,b82070080
u82150002,b88166444
u89946818,b06068658
u99027997,b94930284
u83298581,b87855346
u32017266,b11195772
u90263578,b67384936
u18431458,b91761655
u77193996,b49536293
u86561013,b68534481
u10330871,b71406963
u39697634,b05025304
u09376234,b91270938
u46423246,b63927673
u44514129,b29795443
u29781267,b26793811
u44943851,b10912374
u66315098,b43116475
u99123483,b51930653
u78826473,b09625409
u31084296,b27008357
u84528726,b57396106
u23838320,b33699773
u46279060,b97043167
u61494799,b50079803
u01869851,b48067108
u59003858,b66851465
u67250221,b05288241
u72733561,b41039130
u73600767,b21469637
u40840367,b65825070
u76027959,b47130364
u66727657,b68856469
u49219358,b85669891
u70200073,b57850870
u24007798,b43883297
u13708691,b25756257
u23590726,b26793811
u07292831,b54956614
u85376405,b59839746
u82684891,b42820896
u02514357,b44553593
u20809270,b69368390
u10981253,b44826207
u21072838,b59263316
u89134783,b94914324
u68015460,b62445625
u33716421,b29795443
u44192534,b89753615
u42287651,b47091059
u49404299,b93239672
u47149890,b33882296
u03756021,b41536700
u06708024,b42541549
u77221576,b74779633
u11147116,b71466677
u53481410,b13427551
u42598846,b87999388
u14049177,b65572743
u64735309,b32325384
u08269774,b05184403
u04128252,b86068034
u24858738,b88647537
u02822381,b47790806
u53295167,b70126202
u24467738,b15396220
u99024085,b58549702
u05541844,b46139196
u28414985,b54142059
u00348522,b35018560
u19579798,b16676337
u84458626,b73030937
u50880197,b44724956
u21283282,b20605983
u73808609,b67757186
u35659182,b80001594
u27369000,b25756257
u28368100,b17834374
u62454430,b64772735
u02808978,b50306450
u28736788,b68476558
u15212792,b66345658
u73246497,b57850870
u97562034,b59839746
u56694143,b80407575
u87417436,b33257343
u47304675,b46023908
u74080935,b59477148
u08967041,b82543701
u50149571,b11225717
u49404299,b87901324
u60214197,b06547200
u91036509,b76004258
u32272415,b42409019
u53557437,b06382018
u84278901,b23577209
u74735594,b84751960
u20888778,b54475281
u57499038,b77297808
u79574090,b34569269
u25406383,b09734064
u15594569,b53912401
u83702794,b66842439
u97540921,b09668611
u23050787,b56590143
u21194757,b70494097
u50028317,b16885775
u41245641,b73465962
u84772386,b51173598
u70765101,b91295615
u21338887,b76207735
u67693240,b50051606
u32913036,b55203220
u06260341,b52784796
u51608060,b49631335
u94018662,b77092473
u44095179,b36264790
u58439350,b55678824
u96587615,b54895158
u59362060,b97564684
u61615456,b48269564
u66343508,b99699446
u81926841,b23475455
u44192534,b49401369
u18976293,b86190737
u47930931,b26377667
u06979322,b32182882
u52293379,b88778499
u85409972,b31395837
u57884431,b71406963
u88133662,b84966764
u02111960,b35018560
u92196440,b84966764
u58339279,b48660225
u67873998,b79582149
u79363243,b03935298
u36974185,b30502347
u82311589,b85605819
u96370522,b59852433
u51339318,b10462017
u92092489,b38263564
u25395528,b92856381
u95731764,b66862905
u35642181,b80407575
u05393125,b07031913
u41336208,b13840585
u52767158,b97128202
u34701615,b11225717
u36404811,b19360195
u69613378,b49634533
u75011359,b88282064
u16648719,b84076842
u77014985,b45271117
u32412400,b38326207
u94772969,b02307143
u68246998,b41827135
u67984266,b54437564
u90863256,b26292227
u43674878,b96421650
u65963936,b48518680
u31426316,b21847001
u63255139,b49634533
u78567529,b76469367
u01128072,b30260877
u20343017,b25518900
u81234613,b57810416
u68298528,b02614173
u04410864,b48034911
u31950082,b02279077
u46622534,b66431121
u63043030,b80742928
u95039380,b20661910
u44316060,b34602192
u54019443,b70730831
u50953400,b06976199
u89446462,b79191233
u20982701,b29789801
u19654262,b08838697
u40642039,b10460027
u47027025,b89365853
u65770167,b33436398
u72949677,b05288241
u05747998,b11162683
u21532949,b63462060
u47006344,b82327601
u16351343,b28807456
u70289104,b51771477
u21614842,b75771254
u64353364,b21799914
u64329121,b12361746
u65903328,b07343299
u57453001,b03260269
u36635077,b11764474
u81372187,b91310197
u88936722,b32165272
u27795919,b78101971
u81261310,b20919860
u65173900,b52566336
u45369771,b88525511
u74761204,b44662337
u77861985,b68063109
u56527730,b87224232
u77456657,b44474740
u05233424,b89740973
u24106485,b10084799
u48090408,b69663712
u63929338,b01373140
u93025369,b55629939
u30694246,b67899181
u45155936,b47698636
u40914243,b93236670
u04136113,b57400555
u61674604,b04851521
u06502821,b16299278
u59291755,b78511257
u78951668,b08599285
u27408398,b47852641
u41122574,b00611104
u45703238,b38949777
u69842704,b06888501
u47036050,b66846181
u45027548,b23865940
u99677200,b22704509
u33908154,b33892919
u98499140,b06077214
u55689765,b68856469
u88447418,b89780411
u69555896,b17858813
u16903532,b41489996
u06824166,b33243827
u09989933,b95483876
u54899517,b21454436
u98156417,b55962427
u47474109,b63777688
u40753522,b81950461
u56975279,b28684925
u37220675,b46139196
u34212384,b62445625
u03035668,b74035732
u53467831,b59839746
u11546099,b54142059
u46976720,b41459621
u36444882,b84584185
u77166515,b81950461
u51686026,b32618030
u29842147,b60886127
u83622364,b71035471
u01195146,b41204335
u04664036,b03915428
u40887542,b54333227
u00953263,b81775117
u36262605,b94431995
u85145466,b83599837
u89060866,b56596825
u55297459,b33968198
u03081133,b86622513
u32062517,b49250112
u50329898,b26793811
u06277123,b09881661
u21391142,b00382264
u24385652,b73603340
u97007894,b04851521
u93504584,b42409019
u17904996,b27008357
u23642984,b51752826
u27250568,b01089442
u55469272,b40009044
u85214274,b62372998
u87175844,b98204089
u15885456,b34602192
u79508895,b59347627
u72550497,b55084308
u62249191,b58546243
u14705671,b72355568
u55508354,b41411777
u93627137,b10585734
u52711260,b87376509
u31642780,b77335595
u09093877,b78387229
u03011277,b62815615
u98148124,b39775044
u69344033,b54625646
u22729872,b51930653
u39495215,b07582514
u15744326,b17526792
u03705545,b12631791
u42759145,b94930284
u10176598,b77751188
u31566696,b09160765
u16320676,b98907773
u23971369,b02671104
u95715258,b87224232
u32767915,b09881661
u34240872,b71487354
u51990822,b46174462
u06687013,b34300470
u24451327,b84584185
u08424819,b40828903
u76352387,b07031913
u03329735,b44347659
u84777924,b72089091
u78640453,b03963892
u93298101,b71368357
u36277763,b42127194
u97330413,b29773216
u67948851,b86901970
u36343070,b44553593
u88534331,b33506410
u10937775,b89618666
u75640665,b26936122
u53389933,b15846191
u59984499,b14827150
u12028634,b13603836
u38309590,b40424295
u39131154,b62035358
u03737575,b51164059
u80636511,b19380588
u68430756,b47104444
u02209597,b10600049
u83702794,b30021117
u08503168,b66842439
u55363961,b57513073
u84926885,b46491047
u39863493,b84584185
u65649689,b50151753
u47710573,b62112545
u59385493,b81741213
u51658612,b88795125
u87765038,b85249932
u11787971,b69011389
u38528903,b64772735
u46417412,b36788470
u52057994,b71725937
u00812604,b11225717
u75487613,b71840549
u89468536,b18929421
u18448090,b00852710
u96121627,b01444899
u10585105,b33882296
u01232407,b23777223
u31739798,b74692664
u29180925,b00833173
u79613362,b68524016
u21879543,b54116299
u75149683,b33968198
u56514125,b08709281
u57178055,b75299058
u66768245,b10877513
u84326991,b92264638
u79205698,b98647333
u31244308,b61778533
u58417436,b19975064
u43789748,b21592741
u78599335,b59649550
u88915084,b02502033
u04892929,b87855346
u99618324,b78183994
u63531514,b26793811
u41174830,b53383978
u73235568,b56587367
u52240101,b33997929
u42673958,b27225696
u47317300,b72186649
u27188363,b86252145
u97388441,b11187827
u99152473,b23756503
u57469506,b83911617
u95731764,b78630462
u42108780,b46139196
u93448215,b89112518
u30161744,b99818809
u31135164,b74035732
u95243813,b54142059
u89920185,b47186520
u19048527,b85566336
u78523870,b36853499
u72733921,b47698636
u73610418,b22799790
u55664608,b34939711
u31196628,b51752826
u25883194,b22704509
u29044114,b80205398
u31684316,b69211707
u06540801,b61302711
u76447004,b80617056
u88001767,b07490126
u72515961,b05288241
u21788111,b70126202
u97018518,b25158045
u72532090,b29527302
u70610982,b51752826
u50686090,b94920731
u49344539,b12330869
u22105217,b52949079
u76473113,b90588816
u51182153,b46148034
u08700941,b54664414
u53226578,b01135741
u09009406,b33968198
u82835044,b52463272
u04593427,b94104180
u81687656,b72522965
u06653624,b97095234
u12566366,b34602192
u63567540,b09022405
u96418775,b33257343
u83716582,b97043167
u95321079,b26264633
u22234654,b35101284
u96540264,b26947765
u67984266,b26322277
u42741334,b01940907
u74605779,b33968198
u70077318,b87364450
u60946728,b97835600
u12308382,b53831179
u66097160,b06547200
u37808623,b49528341
u70413024,b03563512
u13700291,b54625646
u41956784,b15016542
u73438495,b69663712
u49672454,b58153631
u37907513,b84476867
u11110961,b73240209
u01869851,b54643661
u35962937,b87855346
u59021171,b74784693
u97369277,b36035008
u29789935,b60886127
u91400787,b49634533
u96479458,b82180436
u49778777,b19081621
u70833685,b87800837
u67319876,b16321096
u17620803,b51476703
u66859120,b32561157
u55823282,b18248037
u00506162,b91045742
u72610251,b51459243
u54503236,b28401228
u17401817,b59639897
u32258928,b87300768
u97499229,b59260724
u01774339,b21469637
u91613659,b44826207
u08576782,b82685711
u50153236,b92723345
u10174130,b38483002
u17837799,b44552320
u17273167,b54625646
u27489813,b60464315
u20690005,b26900860
u34217928,b34826266
u58395804,b68856469
u99121766,b42760236
u24596194,b71003441
u51935656,b67865763
u64952753,b66842439
u51516676,b01044726
u12998294,b02614173
u51556807,b15657520
u84821643,b80339649
u03868261,b87911676
u64441822,b58393048
u42066235,b78246770
u37876295,b79276141
u77612574,b66871833
u43732543,b71406963
u03808924,b67376351
u74472139,b08130013
u73432667,b49867762
u53199016,b22694883
u75574840,b46594220
u11972308,b20605983
u43329797,b79191233
u90818230,b85970513
u72993983,b01806203
u58913639,b55084308
u95706478,b38237090
u05993835,b70322971
u03528006,b50751440
u43624159,b30850508
u23643576,b84157934
u49344539,b37114775
u93181851,b65888554
u26923206,b58047899
u83163447,b70333193
u28357364,b53437553
u44727866,b05209726
u29799709,b01234509
u69125688,b84090080
u30616521,b65810498
u10980790,b91761655
u64459482,b63000420
u02524146,b08365948
u07721341,b11195772
u67777255,b25756257
u60259155,b70025998
u95108461,b84476867
u45040840,b45430412
u21311922,b68420900
u64835278,b80071887
u29374611,b56583724
u99522100,b92164390
u72281312,b68063109
u11110961,b06328836
u98270296,b08838697
u97973123,b70827503
u67463997,b68406603
u92381593,b00072468
u82387012,b76066415
u13590395,b47790806
u56743636,b38949777
u99606379,b69901173
u04633302,b80038099
u21259079,b17000824
u70687646,b36546189
u34253277,b84632073
u56896524,b26793811
u51677933,b49250112
u46767634,b40791112
u04128252,b35868154
u33046346,b01444899
u51502684,b35177098
u65736994,b34602192
u79555316,b79276141
u49707154,b53383978
u81936972,b87810678
u42870026,b58217036
u36369317,b84514177
u52763613,b33892919
u98275829,b21388293
u69623585,b92602460
u76647077,b14103537
u54788635,b45256823
u17978601,b24970833
u40932610,b62035358
u92180355,b13603836
u71308397,b04957092
u64003657,b86686582
u64476935,b80129739
u57773281,b01508437
u26368269,b66619065
u75902859,b83382811
u85373674,b17858813
u94803009,b51698172
u33473385,b33968198
u32311610,b47081923
u29728716,b33454247
u02288137,b68063109
u09094279,b00592063
u97294352,b54703448
u24597194,b64549800
u19386371,b83469839
u92584274,b11195772
u01389341,b73889554
u72445722,b92044723
u28770781,b36662051
u14749933,b83594308
u24094066,b80380188
u90188966,b26420301
u43025467,b24923114
u77026627,b53441791
u68928521,b22251874
u78987868,b28208330
u57081895,b38949777
u42336285,b72298534
u71143679,b89115869
u69197352,b45101095
u28031896,b56314680
u93206742,b55906319
u56643249,b37486794
u51912084,b47113181
u49957834,b82879197
u30757394,b42153012
u18948390,b38865246
u17770475,b77812312
u12085582,b57513073
u81238313,b28208330
u77360856,b92836080
u77193996,b54625646
u91543592,b08897115
u90756071,b81875514
u13237553,b70978579
u88391449,b31924190
u76677275,b23350224
u69869249,b12189554
u05221131,b02279077
u69482964,b23475455
u63935232,b69798435
u68695738,b52470635
u08102462,b58549702
u73556476,b70827503
u44461868,b77297808
u19591348,b59839746
u59775165,b96109530
u82303586,b07490126
u91536549,b64130684
u24439203,b35544933
u76911103,b29795443
u05739417,b39234188
u73168747,b05288241
u77619397,b96129611
u41051577,b77441011
u55678551,b17025078
u36143496,b86045488
u71864914,b22415619
u47157434,b69571703
u91507604,b92585934
u17978126,b80205398
u55155758,b29795443
u89137143,b52324949
u34918274,b00880720
u65064326,b48670437
u34197404,b85116341
u06749598,b94254026
u45970580,b69655340
u94207390,b46066438
u47411512,b59839746
u47084533,b56416268
u52359855,b06682421
u44134722,b97835600
u38771155,b46148034
u17889806,b17387967
u29141144,b79343645
u93475292,b04068325
u55588993,b72522965
u43175964,b32846002
u80557010,b99699446
u67258997,b80205398
u99670799,b86305885
u46243205,b90319078
u41485633,b37710092
u29971725,b13603836
u52530663,b33892919
u80821618,b42028364
u29088768,b27008357
u02929946,b33892919
u88023385,b16142257
u61415893,b17885469
u42599320,b01044726
u33977432,b52022773
u37852998,b84846847
u80121117,b73337480
u50187993,b18553009
u41853040,b24058161
u64861632,b24711277
u74272965,b14157760
u89570000,b01334951
u53923113,b75521883
u38517547,b68524016
u66861592,b04577756
u45502309,b00769915
u93892163,b33243827
u50828957,b13856177
u39520017,b14827150
u32545782,b38326207
u47360816,b99674075
u93844763,b73753781
u83991998,b70322971
u12592732,b52300694
u64573403,b44455793
u25195084,b33723137
u81469669,b49528341
u59796572,b00852710
u39967492,b11830351
u29380759,b36899220
u92858515,b42466422
u46710318,b13856177
u48499458,b35367251
u92126545,b46148034
u84839363,b55612594
u39490225,b01044726
u71630277,b28492177
u51956034,b44553593
u10894118,b31102862
u61402691,b76796954
u43846673,b12662265
u74942968,b17858813
u78617951,b38198191
u90996638,b97272506
u68473084,b33075345
u19189759,b26133604
u49008080,b17858813
u61662618,b29970241
u57237752,b05554007
u80929788,b96222954
u40679361,b10602040
u43128856,b54625646
u27907210,b61038902
u85541838,b90772029
u18295998,b12882704
u25410593,b96203108
u16216412,b66651817
u31223498,b51752826
u01141458,b22251874
u28636521,b64278102
u00861156,b49250112
u58958256,b57810416
u87038494,b08625173
u65403569,b15252577
u98703202,b16142257
u56265864,b44642550
u07297771,b70559597
u01866111,b35786131
u53194257,b63377816
u24344463,b00223219
u51377372,b70827503
u47541822,b59284911
u55706039,b44474740
u13174563,b38865246
u07071632,b30871595
u63451112,b96607117
u59291755,b10724030
u60908479,b28178141
u40270341,b24956179
u80798142,b51559041
u31988525,b32036465
u25367865,b00922666
u37472763,b05436549
u91621241,b23399053
u98095526,b66345658
u66591829,b11195772
u64835278,b41489996
u62064248,b26793811
u18360310,b11225717
u36443888,b87903652
u52396612,b87855346
u46654986,b26900860
u70816056,b28525537
u36313414,b81359731
u05822701,b28525537
u65670375,b47713348
u74484275,b75663444
u88936747,b60886127
u82304404,b59839746
u23707482,b02827809
u54872698,b78387229
u21926300,b70126202
u36957176,b64772735
u49575930,b55962427
u79350479,b72857500
u66503847,b87778693
u14092188,b92321803
u46256540,b88155577
u41272093,b51621222
u95068917,b34801682
u59529874,b25255252
u47703580,b58416096
u93953783,b89112518
u98752547,b50079803
u50183282,b79524584
u47893517,b05385891
u99853439,b80532321
u15913511,b59314206
u30472522,b63487760
u19181363,b51752826
u72277171,b92044723
u71621911,b96778651
u98803549,b24632993
u28414985,b52470635
u28806207,b65810498
u75657031,b99813835
u17542363,b14053063
u02354791,b55678824
u67509300,b93239672
u03435936,b36431820
u42342878,b77063954
u10643901,b31483205
u81216553,b58549702
u64735865,b68476558
u27567264,b95483876
u01505665,b23880729
u81117066,b95483876
u38210695,b62445625
u68466371,b55678824
u73600767,b72956733
u19948366,b15682689
u13019632,b44242455
u70537995,b18553009
u28527596,b06547200
u96205907,b33892919
u30470882,b53131019
u98712305,b81830482
u89940771,b84234356
u88936747,b08312296
u75468244,b81359731
u60261037,b16017170
u15483171,b35902192
u31281644,b88525511
u61957268,b00366117
u31639493,b63496238
u11379791,b03355845
u45346810,b89780411
u12201626,b50729747
u33222765,b33892919
u55230869,b67596432
u70745384,b91045742
u96142675,b68476558
u39628219,b44474740
u45291297,b54653281
u08597357,b80300090
u13599875,b52924309
u72379955,b69581551
u38767364,b70322971
u75595195,b17512492
u51576736,b45882851
u22214942,b00938263
u12167788,b29744144
u69474442,b61754042
u11863477,b00581117
u71451137,b43923033
u49387120,b27375555
u10567774,b23350224
u53687458,b11574926
u52308067,b84090080
u23926797,b31631333
u03737575,b61778533
u83613725,b17512492
u41383363,b38198191
u43222583,b22881848
u64390795,b75986872
u25247949,b39988292
u24918642,b80617056
u99368812,b54625646
u13481525,b34284018
u66747560,b62883935
u12428322,b43883297
u19419264,b49867762
u36991092,b19575235
u30661686,b44455793
u02573364,b76413650
u85237856,b56711747
u99589409,b38198191
u83126435,b44552320
u61631739,b26264633
u51121873,b41411777
u85395892,b98146198
u97775044,b51416416
u56279246,b69828292
u19824233,b36890981
u32195522,b59839746
u93736542,b29960617
u95311081,b38073902
u50081757,b34939711
u77415563,b05184403
u41749929,b57396106
u35597961,b88222279
u41359153,b39792890
u71451137,b87077605
u35421132,b87997877
u79879699,b51752826
u05496697,b27690118
u38016178,b49929137
